device_id,name,region,qr_image,decoded_url,github_pages_url
planet-hollywood,Planet Hollywood,México,qrs/mexico/cancun/planet-hollywood.png,,https://TU_USUARIO.github.io/TU_REPO/?device=planet-hollywood
princess-riviera,Princess Riviera,México,qrs/mexico/cancun/princess-riviera.png,https://qr2.mobi/28fs6,https://TU_USUARIO.github.io/TU_REPO/?device=princess-riviera
roy-chic,Roy Chic,México,qrs/mexico/cancun/roy-chic.png,https://qr2.mobi/28fs2,https://TU_USUARIO.github.io/TU_REPO/?device=roy-chic
roy-mystique,Roy Mystique,México,qrs/mexico/cancun/roy-mystique.png,https://qr2.mobi/28fs3,https://TU_USUARIO.github.io/TU_REPO/?device=roy-mystique
roy-riviera-totem-hideaway,Roy Riviera Totem Hideaway,México,qrs/mexico/cancun/roy-riviera-totem-hideaway.png,https://qr2.mobi/28fs4,https://TU_USUARIO.github.io/TU_REPO/?device=roy-riviera-totem-hideaway
roy-riviera,Roy Riviera,México,qrs/mexico/cancun/roy-riviera.png,https://qr2.mobi/28fs5,https://TU_USUARIO.github.io/TU_REPO/?device=roy-riviera
decameron,Decameron,México,qrs/mexico/puerto-vallarta/decameron.png,https://qr2.mobi/28fs7,https://TU_USUARIO.github.io/TU_REPO/?device=decameron
delta,Delta,México,qrs/mexico/puerto-vallarta/delta.png,https://qr2.mobi/28fs8,https://TU_USUARIO.github.io/TU_REPO/?device=delta
krystal,Krystal,México,qrs/mexico/puerto-vallarta/krystal.png,https://qr2.mobi/28fs9,https://TU_USUARIO.github.io/TU_REPO/?device=krystal
apto-jamaica-3752993,Apto Jamaica 3752993,Islas,qrs/islas/apto-jamaica-3752993.png,https://qr2.mobi/28ftt,https://TU_USUARIO.github.io/TU_REPO/?device=apto-jamaica-3752993
bavaro-princess-3752988,Bavaro Princess 3752988,Islas,qrs/islas/bavaro-princess-3752988.png,https://qr2.mobi/28fto,https://TU_USUARIO.github.io/TU_REPO/?device=bavaro-princess-3752988
caribe-princess-3752987,Caribe Princess 3752987,Islas,qrs/islas/caribe-princess-3752987.png,https://qr2.mobi/28ftn,https://TU_USUARIO.github.io/TU_REPO/?device=caribe-princess-3752987
eurostars-3752992,Eurostars 3752992,Islas,qrs/islas/eurostars-3752992.png,https://qr2.mobi/28fts,https://TU_USUARIO.github.io/TU_REPO/?device=eurostars-3752992
lopesan-3752989,Lopesan 3752989,Islas,qrs/islas/lopesan-3752989.png,https://qr2.mobi/28ftp,https://TU_USUARIO.github.io/TU_REPO/?device=lopesan-3752989
ph-costa-rica-3752994,PH Costa Rica 3752994,Islas,qrs/islas/ph-costa-rica-3752994.png,https://qr2.mobi/28ftu,https://TU_USUARIO.github.io/TU_REPO/?device=ph-costa-rica-3752994
ry-antigua-3752971,RY Antigua 3752971,Islas,qrs/islas/ry-antigua-3752971.png,https://qr2.mobi/28ft7,https://TU_USUARIO.github.io/TU_REPO/?device=ry-antigua-3752971
ry-antigua-chic-3752972,RY Antigua Chic 3752972,Islas,qrs/islas/ry-antigua-chic-3752972.png,https://qr2.mobi/28ft8,https://TU_USUARIO.github.io/TU_REPO/?device=ry-antigua-chic-3752972
ry-barbados-3752973,RY Barbados 3752973,Islas,qrs/islas/ry-barbados-3752973.png,https://qr2.mobi/28ft9,https://TU_USUARIO.github.io/TU_REPO/?device=ry-barbados-3752973
ry-bavaro-3752974,RY Bavaro 3752974,Islas,qrs/islas/ry-bavaro-3752974.png,https://qr2.mobi/28fta,https://TU_USUARIO.github.io/TU_REPO/?device=ry-bavaro-3752974
ry-grenada-3752978,RY Grenada 3752978,Islas,qrs/islas/ry-grenada-3752978.png,https://qr2.mobi/28fte,https://TU_USUARIO.github.io/TU_REPO/?device=ry-grenada-3752978
ry-puj-3752976,RY PUJ 3752976,Islas,qrs/islas/ry-puj-3752976.png,https://qr2.mobi/28ftc,https://TU_USUARIO.github.io/TU_REPO/?device=ry-puj-3752976
ry-puj-chic-3752975,RY PUJ Chic 3752975,Islas,qrs/islas/ry-puj-chic-3752975.png,https://qr2.mobi/28ftb,https://TU_USUARIO.github.io/TU_REPO/?device=ry-puj-chic-3752975
ry-puj-splash-3752977,RY PUJ Splash 3752977,Islas,qrs/islas/ry-puj-splash-3752977.png,https://qr2.mobi/28ftd,https://TU_USUARIO.github.io/TU_REPO/?device=ry-puj-splash-3752977
ry-st-lucia-3752979,RY St Lucia 3752979,Islas,qrs/islas/ry-st-lucia-3752979.png,https://qr2.mobi/28ftf,https://TU_USUARIO.github.io/TU_REPO/?device=ry-st-lucia-3752979
sonesta-3752991,Sonesta 3752991,Islas,qrs/islas/sonesta-3752991.png,https://qr2.mobi/28ftr,https://TU_USUARIO.github.io/TU_REPO/?device=sonesta-3752991
vista-sol-3752990,Vista Sol 3752990,Islas,qrs/islas/vista-sol-3752990.png,https://qr2.mobi/28ftq,https://TU_USUARIO.github.io/TU_REPO/?device=vista-sol-3752990
